English,Burmese
station,ဘူတာရုံ
acting,သရုပ်ဆောင်
accept,လက်ခံ
blow,မှုတ်
strange,ထူးဆန်းတယ်။
saved,သိမ်းဆည်းခဲ့သည်။
conversation,စကားဝိုင်း
plane,လေယာဉ်
mama,အမေ
yesterday,မနေ့က
lied,လိမ်တယ်။
quick,အမြန်
lately,မကြာသေးဘူး။
stuck,ပိတ်မိ
lovely,ချစ်စရာကောင်းတဲ့
security,လုံခြုံရေး
report,အစီရင်ခံစာ
difference,ကွာခြားချက်
rid,ပစ်ပယ်
store,စတိုးဆိုင်
bag,အိတ်
bought,ဝယ်သည်။
ball,ဘောလုံး
single,တစ်ခုတည်း
doubt,သံသယ
listening,နားထောင်ခြင်း။
major,အဓိက
walking,လမ်းလျှောက်
cops,ရဲ
blue,အပြာ
deep,နက်နဲသည်။
dangerous,အန္တရာယ်ရှိသည်။
Buffy,Buffy
park,ပန်းခြံ
sleeping,အိပ်
record,မှတ်တမ်း
lord,သခင်
Erica,Erica
moved,ပြောင်းရွှေ့
join,ပူးပေါင်းပါ။
key,သော့
captain,ကပ္ပတိန်
card,ကတ်
crime,ရာဇဝတ်မှု
gentlemen,လူကြီးလူကောင်း
willing,စေတနာ
window,ပြတင်းပေါက်
return,ပြန်လာ
walked,လမ်းလျှောက်
guilty,အပြစ်ရှိသည်။
likes,ကြိုက်တယ်။
fighting,တိုက်ပွဲ
difficult,ခက်တယ်။
soul,ဝိညာဉ်
joke,ဟာသ
service,ဝန်ဆောင်မှု
magic,မှော်
favorite,အကြိုက်ဆုံး
uncle,ဦးလေး
promised,ကတိပြုသည်။
public,အများသူငှာ
bother,အနှောက်အယှက်
island,ကျွန်း
Jim,ဂျင်
seriously,အလေးအနက်ထား
cell,ဆဲလ်
lead,ခဲ
knowing,သိခြင်း။
broken,ကျိုး
advice,အကြံဉာဏ်
somehow,တစ်နည်းနည်းနဲ့
paid,ပေးဆပ်ခဲ့သည်။
losing,ရှုံး
push,တွန်း
helped,ကူညီခဲ့သည်။
killing,သတ်ဖြတ်ခြင်း
usually,များသောအားဖြင့်
earlier,စောစောက
boss,သူဌေး
Laura,လျော
beginning,အစ
liked,ကြိုက်တယ်။
innocent,အပြစ်မရှိ။
rules,စည်းကမ်း
Elizabeth,အဲလိဇဘက်
Sabrina,Sabrina
summer,နွေရာသီ
ex,ဟောင်း
cop,ရဲ
learned,သင်ယူခဲ့သည်။
thirty,သုံးဆယ်
risk,အန္တရာယ်
letting,ခွင့်ပြုခြင်း။
Phillip,ဖိလစ်
speaking,ပြောရမယ်ဆိုရင်
officer,အရာရှိ
ridiculous,ရယ်စရာကောင်းတယ်။
support,ထောက်ခံမှု
afternoon,နေ့ခင်း
born,မွေး
dreams,အိပ်မက်များ
apologize,တောင်းပန်ပါတယ်။
seat,ထိုင်ခုံ
nervous,အာရုံကြော
across,ဖြတ်ပြီး
song,သီချင်း
Olivia,အိုလီဗီယာ
charge,တာဝန်ခံ
patient,လူနာ
Cassie,ကေစီ
boat,လှေ
how'd,ဘယ်လိုလဲ။
brain,ဦးနှောက်
hide,ပုန်း
detective,စုံထောက်
Aaron,အာရုန်
Kendall,Kendall
general,အထွေထွေ
Tom,အဲတော့
planning,စီစဉ်ခြင်း။
nine,ကိုး
huge,ဧရာမ
breakfast,မနက်စာ
horrible,ကြောက်စရာကောင်းသော
age,အသက်
awful,မကောင်းပါဘူး။
pleasure,ပျော်ရွှင်မှု
driving,ကားမောင်းသည်။
hanging,တွဲလောင်း
picked,ခူး
system,စနစ်
sell,ရောင်းသည်
quit,အလုပ်ထွက်
apparently,ညီမရဲ့
dying,သေခြင်း။
notice,သတိပေးချက်
congratulations,ဂုဏ်ယူပါတယ်။
chief,အကြီးအကဲ
faith,ယုံကြည်ခြင်း
month,လ
visit,လည်ပတ်
could've,နိုင်ခဲ့တယ်။
letter,စာ
decide,ဆုံးဖြတ်ပါ။
American,အမေရိကန်
double,နှစ်ဆ
sad,ဝမ်းနည်း
press,စာနယ်ဇင်း
forward,ရှေ့သို့
fool,လူမိုက်
showed,ပြတယ်။
smell,အနံ့
seemed,သလိုပဲ။
Mary,မေရီ
spell,စာလုံးပေါင်း
Courtney,Courtney
memory,မှတ်ဉာဏ်
Mark,အမှတ်အသား

pictures,ပုံတွေ
slow,နှေးတယ်။
Joe or joe,ဂျိုး သို့မဟုတ် ဂျိုး
seconds,စက္ကန့်
hungry,ဗိုက်ဆာတယ်။
board,ဘုတ်အဖွဲ့
position,ရာထူး
hearing,အကြားအာရုံ
kitchen,မီးဖိုချောင်
force,အင်အား
fly,ပျံသန်း
during,ကာလအတွင်း
space,အာကာသ
should've,ရှိသင့်တယ်။
realized,သဘောပေါက်
experience,အတွေ့အကြုံ
kick,ကန်တယ်။
others,အခြားသူများ
grab,ဖမ်း
discuss,ဆွေးနွေးပါ။
third,တတိယ
cat , ကြောင်
fifty,ငါးဆယ်
responsible,တာဝန်ရှိတယ်။
miles,မိုင်
fat,အဆီ
reading,စာဖတ်ခြင်း။
idiot,လူမိုက်
yep,ဟုတ်တယ်
rock,ရော့ခ်
rich,ချမ်းသာ
suddenly,ရုတ်တရက်
agent,အေးဂျင့်
bunch,စည်း
destroy,ဖျက်ဆီး
bucks,ပေးပြီး
track,တစ်ပုဒ်
shoes,ဖိနပ်
scene,မြင်ကွင်း
peace,ငြိမ်းချမ်းရေး
arms,လက်နက်များ
demon,နတ်ဆိုး
low,နိမ့်
Livvie,Livvie
consider,စဉ်းစားပါ။
papers,စာရွက်များ
medical,ဆေးဘက်ဆိုင်ရာ
incredible,မယုံနိုင်လောက်အောင်
witch,စုန်း
drunk,မူး
attorney,ရှေ့နေ
Charlie,ချာလီ
tells,ပြောထားတယ်။
knock,ခေါက်
ways,နည်းလမ်းများ
belle or Belle,Belle သို့မဟုတ် Belle
cash or Cash,ငွေသား သို့မဟုတ် ငွေသား
gives,ပေးသည်။
department,ဌာန
nose,နှာခေါင်း
turns,အလှည့်
keeps,စောင့်ရှောက်သည်။
beer,ဘီယာ
jealous,မနာလို
drug,မူးယစ်ဆေးဝါး
sooner,အနှေးနဲ့အမြန်
cares,ဂရုစိုက်သည်။
plenty,များနေပြီ။
extra,အပို
tea,လက်ဖက်ရည်
won,အနိုင်ရခဲ့သည်။
attack,တိုက်ခိုက်မှု
ground,မြေ
whose,ဘယ်သူလဲ။
weekend,ပိတ်ရက်
matters,ကိစ္စ
wrote,ရေးသားခဲ့သည်။
type,အမျိုးအစား
father 's,ဖေဖေ
Alex,အဲလက်စ်
gosh,ဘုရား
opportunity,အခွင့်အလမ်း
king,ဘုရင်
impossible,မဖြစ်နိုင်ဘူး။
books,စာအုပ်များ
machine,စက်
waste,အမှိုက်
th#English|-th|th,th#English|-th|th
pretend,ဟန်ဆောင်
named,အမည်ရှိ
danger,အန္တရာယ်
wall,နံရံ
jump,ခုန်
eating,စားသောက်ခြင်း။
proof,သက်သေ
complete,ပြီးပါပြီ။
slept,အိပ်တယ်။
career,အသက်မွေးဝမ်းကျောင်း
arrest,ဖမ်းဆီးခြင်း
star,ကြယ်ပွင့်
breathe,အသက်ရှူ
perfectly,စုံလင်စွာ
warm,နွေး
pulled,ဆွဲ
twice,နှစ်ကြိမ်
easier,ပိုလွယ်လိုက်တာ
killer,လူသတ်သမား
dating,ချိန်းတွေ့
suit,ဝတ်စုံ
romantic,အချစ်ရေး
drugs,မူးယစ်ဆေးဝါး
comfortable,အဆင်ပြေတယ်။
powers or Powers,အာဏာများ သို့မဟုတ် လုပ်ပိုင်ခွင့်များ
finds,တွေ့တယ်။
checked,စစ်တယ်။
divorce,ကွာရှင်းခြင်း။
begin,အစ
ourselves,မိမိကိုယ်ကို
closer,ပိုနီးစပ်တယ်။
ruin,ခပ်အေးအေး
although,သို့ပေမယ့်
smile,ပြုံးပါ။
laugh,ရယ်ပါ။
fish,ငါး
Abigail,အဘိဂဲလ
treat,ဆက်ဆံပါ။
god 's,ဘုရား
fear,ကြောက်ရွံ့ခြင်း။
Amber,ပယင်း
guy 's,ယောက်ျားလေး
otherwise,မဟုတ်ရင်
excited,စိတ်လှုပ်ရှား
mail,မေးလ်
hiding,ပုန်းအောင်း
cost,ကုန်ကျစရိတ်
green,အစိမ်းရောင်
stole,ခိုးတယ်။
Pacey,ပါစီ
noticed,သတိထားမိတယ်။
fired,အလုပ်ဖြုတ်ခဲ့သည်။
excellent,အရမ်းကောင်းတဲ့
lived,နေထိုင်ခဲ့သည်။
bringing,ယူဆောင်လာသည်။
pop,ပေါ့ပ်
piper or Piper,piper သို့မဟုတ် Piper
bottom,အောက်ခြေ
note,မှတ်ချက်
sudden,ရုတ်တရက်
church,ဘုရားကျောင်း
bathroom,ရေချိုးခန်း
flight,လေယာဉ်
honestly,ရိုးရိုးသားသား
sing,သီချင်းဆို
foot,ခြေ
games,ဂိမ်းများ
glass,ဖန်
remind,သတိပေးသည်။
bank,ဘဏ်
Rory,Rory
charges,စွဲချက်
witness,သက်သေ
finding,ရှာဖွေခြင်း။
places,နေရာများ
tree,သစ်ပင်
hardly,ခဲ
that'll,အဲဒါ
interest,အကျိုးစီးပွား
steal,ခိုး
princess,မင်းသမီး
silly,ရီစရာ
contact,ဆက်သွယ်ရန်
teach,သင်ပေးပါ။
shop,ဆိုင်
plus,အပေါင်း
colonel,ဗိုလ်မှူးကြီး
fresh,လတ်ဆတ်သော
trial,အစမ်း
invited,ဖိတ်ခေါ်ပါတယ်။
roll,လိပ်
radio,ရေဒီယို
art,အနုပညာ
reach,လက်လှမ်းမီ
dirty,ညစ်ပတ်တယ်။
choose,ရွေးချယ်ပါ။
emergency,အရေးပေါ်
dropped,ကျဆင်းသွားသည်။
butt,တင်းပါး
credit,credit ပါ။
obvious,သိသာသည်။
cry,ငိုပါ။
locked,သော့ခတ်ထားသည်။
loving,ချစ်သော
positive,အပြုသဘော
nuts,အခွံမာသီး
agreed,သဘောတူသည်။
price or Price,စျေးနှုန်းသို့မဟုတ်စျေးနှုန်း
goodbye,သွားတော့မယ်
condition,အခြေအနေ
guard,ကိုယ်ရံတော်
grow,ကြီးထွား
cake,ကိတ်မုန့်
mood,စိတ်ခံစားချက်
total,စုစုပေါင်း
crap,အမိုက်စား
crying,ငိုတယ်။
belong,ပိုင်သည်။
lay,အိပ်
partner,အဖော်
trick,လှည့်ကွက်
pressure,ဖိအား
arm,လက်မောင်း
dressed,ဝတ်ဆင်ထားသည်။
cup,ခွက်
lies,မုသား
bus,ဘတ်စ်ကား
taste,အရသာ
neck,လည်ပင်း
south,တောင်ဘက်
nurse,သူနာပြု
raise,မြှင့်
land,မြေ
cross,လက်ဝါးကပ်တိုင်
lots,အများကြီး
mister,ဆရာ
carry,သယ်
group,အဖွဲ့
whoever,ဘယ်သူပဲဖြစ်ဖြစ်
Eddie,အက်ဒီ
drinking,သောက်
they'd,သူတို့က
breaking,ကြေကွဲ
file,ဖိုင်
lock,သော့ခတ်
computer,ကွန်ပျူတာ
Rebecca,ရေဗက္ကာ
wine,ဝိုင်
closed,ပိတ်သည်။
writing,အရေးအသား
spot,ကွက်
paying,ပေးရတာ။
study,လေ့လာပါ။
assume,ယူဆ
asleep,အိပ်ပျော်
turning,အလှည့်
legal,တရားဝင်
justice,တရားမျှတမှု
Chandler,Chandler
bedroom,အိပ်ခန်း
shower,ရေချိုး
Nikolas,နီကိုလတ်စ်
camera,ကင်မရာ
fill,ဖြည့်စွက်
reasons,အကြောင်းပြချက်များ
forty,လေးဆယ်
bigger,ပိုကြီးတယ်။
nope,မဟုတ်ဘူး
keys,သော့များ
Starr,ကြယ်ပွင့်
breath,အသက်ရှု
doctors,ဆရာဝန်များ
pants,ဘောင်းဘီ
freak,မထင်မှတ်
level,အဆင့်
French,ပြင်သစ်
movies,ရုပ်ရှင်များ
Monica,မော်နီကာ
action,လုပ်ဆောင်ချက်
area,ဧရိယာ
folks,လူတွေ
Steve,စတိဗ်
cream,မုန့်
continue,ဆက်ရန်
focus,အာရုံစူးစိုက်မှု
wild,တော
truly,အမှန်တကယ်
desk,စားပွဲခုံ
convince,စည်းရုံးသိမ်းသွင်းပါ။
client,ဖောက်သည်
threw,ပစ်ချ
Taylor,တေလာ
band,တီးဝိုင်း
hurts,နာကျင်စေတယ်။
Charles,ချား
spending,အသုံးစရိတ်
field or Field,လယ်ကွင်း သို့မဟုတ် လယ်ကွင်း
allow,ခွင့်ပြုပါ။
answers,အဖြေများ
shirt,အင်္ကျီ
chair,ကုလားထိုင်
Christ or christ,ခရစ်တော် သို့မဟုတ် ခရစ်တော်
allowed,ခွင့်ပြုသည်။
rough,ကြမ်းတမ်းသည်။
sees,မြင်သည်။
government,အစိုးရ
ought,သင့်ပါတယ်။
empty,ဗလာ
round,ပတ်ပတ်လည်
lights,မီးများ
insane,ရူးသွပ်
hat,ဦးထုပ်
bastard,ခွေးကောင်
wind,လေ
shows,ရှိုး
aware,သတိထားပါ။
dealing,ဆက်ဆံခြင်း။
pack,အထုပ်
meaning,အဓိပ္ပါယ်
flowers,ပန်းများ
tight,တင်းကျပ်
hurting,နာကျင်သည်။
ship,သင်္ဘော
subject,ဘာသာရပ်
guest,ဧည့်သည်
chicken,ကြက်သား
pal,သူငယ်ချင်း
match,တစ်ပွဲ
arrested,အဖမ်းခံရတယ်။
sun,နေ
confused,ရှုပ်သည်။
surgery,ခွဲစိတ်မှု
expecting,မျှော်လင့်နေသည်။
deacon,သင်းထောက်
Colleen,Colleen
unfortunately,ကံမကောင်းပါ။
goddamn,ဘုရားတရား
lab,ဓာတ်ခွဲခန်း
passed,လွန်
bottle,ပုလင်း
beyond,ကျော်လွန်
whenever,အခါတိုင်း
pool,ရေကန်
opinion,ထင်မြင်ချက်
naked,ကိုယ်လုံးတီး
held,ကျင်းပသည်။
common,ဘုံ
starts,စတင်သည်။
jerk,လူရှုပ်
secrets,လျှို့ဝှက်ချက်များ
falling,ပြုတ်ကျ
played,ကစားခဲ့သည်။
necessary,လိုအပ်သော
barely,အနိုင်နိုင်
dancing,ကခုန်ခြင်း။
health,ကျန်းမာရေး
tests,စမ်းသပ်မှုများ
copy,ကော်ပီ
video,ဗီဒီယို
cousin,ဝမ်းကွဲ
planned,စီစဉ်ထားသည်။
Vanessa,Vanessa
dry,ခြောက်သွေ့
twelve,ဆယ့်နှစ်
simply,ရိုးရှင်းစွာ
skin,အရေပြား
often,မကြာခဏ
English,အင်္ဂလိပ်စာ
fifteen,ဆယ့်ငါး
spirit,စိတ်ဝိညာဉ်
speech,မိန့်ခွန်း
names,အမည်များ
issue,ထုတ်ပြန်သည်
orders,အမိန့်
final,နောက်ဆုံး
results,ရလဒ်များ
believed,ယုံကြည်သည်။
complicated,ရှုပ်ထွေးသည်။
research,သုတေသန
nowhere,ဘယ်နေရာမှာမှ
escape,လွတ်မြောက်
biggest,အကြီးဆုံး
restaurant,စားသောက်ဆိုင်
page,စာမျက်နှာ
grateful,ကျေးဇူးတင်ပါသည်။
usual,ပုံမှန်
burn,မီးရှို့
address,လိပ်စာ
within,အတွင်း
someplace,တစ်နေရာရာ
screw,ဝက်အူ
everywhere,နေရာတိုင်း
train,ရထား
film,ရုပ်ရှင်
regret,နောင်တ
goodness,ကောင်းမြတ်ခြင်း
mistakes,အမှားတွေ
heaven ,ကောင်းကင်ဘုံ
details,အသေးစိတ်
responsibility,တာဝန်ယူမှု
suspect,သံသယ
corner,ထောင့်
hero,သူရဲကောင်း
dumb,စကားမပြောနိုင်
terrific,ကြောက်စရာကောင်းတဲ့
mission, မျှော်မှန်းချက်
further,နောက်ထပ်
gas,ဓာတ်ငွေ့
whoo,ဟယ်
hole,အပေါက်
memories,အမှတ်တရများ
truck,ထရပ်ကား
follower,နောက်လိုက်
ended,ပြီးသွားတယ်။
nobody 's,ဘယ်သူမှ
teeth,သွားများ
ruined,ပျက်စီးသွားတယ်။
split,ကွဲ
bear,ဝံ
airport,လေဆိပ်
bite,ကိုက်တယ်။
smoke,မီးခိုး
Stenbeck,စတန်ဘက်ခ်
older,အသက်ကြီးသည်။
liar,လူလိမ်
horse,မြင်း
showing,ပြသခြင်း။
project,စီမံကိန်း
cards,ကတ်များ
desperate,အပူတပြင်း
themselves,သူတို့ကိုယ်သူတို့
search,ရှာဖွေ
pathetic,သနားစရာ
damage,ပျက်စီးခြင်း။
spoke,ဟောပြောခဲ့သည်။
quickly,မြန်မြန်
scare, ကြောက်ရွံသော
beach,ကမ်းခြေ
brown အညိုရောင်
afford,တတ်နိုင်ပါတယ်။
vote,မဲ
settle,အခြေချသည်။
gold,ရွှေ
mentioned,ဖော်ပြခဲ့သည်။
due,ပေးဆပ်ခြင်း
passion,ဝါသနာ
stayed,နေခဲ့သည်။
rule,စည်းကမ်း
Friday,သောကြာ
checking,စစ်ဆေးခြင်း။
tie,ချည်နှောင်သည်
hired,ငှားရမ်းထားသည်။
upon,အပေါ်သို့
heads,ဉီးခေါင်းများ
concern,စိုးရိမ်စရာ
blow,မှုတ်
natural,သဘာဝ
connection,ချိတ်ဆက်မှု
tickets,လက်မှတ်များ
finger,လက်ညှိုး
happiness,ပျော်ရွှင်မှု
form,ပုံစံ
saving,သိမ်းဆည်း
kissing,နမ်းခြင်း။
hate, အမုန်း။
personally,ပုဂ္ဂိုလ်ရေးအရ
suggest,အကြံပြုသည်။
prepared,ပြင်ဆင်
build,တည်ဆောက်
leg,ခြေထောက်
onto,ပေါ်သို့
leaves,အရွက်
downstairs,အောက်ထပ်
ticket,လက်မှတ်
taught,သင်ပေးတယ်။
loose,ချောင်နေသည်
holy,သန့်ရှင်းသော
staff,ဝန်ထမ်း
sea,ပင်လယ်
planet,ဂြိုလ်
duty,တာဝန်
convinced,စိတ်ချ
throwing,ပစ်ခြင်း။
defense,ကာကွယ်ရေး
legs,ခြေထောက်များ
according to ,အရ၊
loud,အကျယ်ကြီး
practice,အလေ့အကျင့်
Saturday,စနေနေ့
Colin,ကောလင်း
bright, ‌တောက်ပ
babies,ကလေးငယ်များ
army,စစ်တပ်
warning,သတိပေးချက်
miracle,အံ့ဖွယ်
carry,သယ်ဆောင်သည်
flying,ပျံသန်းသည်
blind,မျက်စိကန်း
queen,မိဖုရား
ugly,ရုပ်ဆိုးတယ်။
shopping,စျေးဝယ်
hates,မုန်းတယ်။
Seth,ရှေ
monster,ဘီလူး
sight,မြင်ကွင်း
vampire,သွေးစုပ်ဖုတ်ကောင်
bride,သတို့သမီး
coat,အင်္ကျီ
account,အကောင့်
states,ပြည်နယ်များ
clearly,ရှင်းရှင်းလင်းလင်း
celebrate,ဆင်နွှဲ
brilliant,တောက်ပ
wanting,အလိုရှိသည်။
Allison,မှတ်လို့
add,ထည့်ပါ။
moon,လ
Forrester,ဖောရက်စတာ
lips,နှုတ်ခမ်း
custody,ချုပ်နှောင်ထားသည်။
center,ဗဟို
screwed,လွဲသွားပြီ
buying,ဝယ်ယူခြင်း။
size,အရွယ်အစား
toast,ဆန္ဒပြု
thoughts,အတွေးများ
student,ကျောင်းသား
stories,ပုံပြင်များ
however,သို့သော်လည်း
professional,ပရော်ဖက်ရှင်နယ်
stars,ကြယ်များ
reality,အဖြစ်မှန်
birth,မွေးဖွားသည်
attitude,သဘောထား
advantage,အားသာချက်
grandfather,အဖိုး
sold,ရောင်းတယ်။
opened,ဖွင့်လှစ်ခဲ့သည်။
grandma,အဖွား
beg,တောင်းရမ်း
Edward,အက်ဒွပ်
changes,အပြောင်းအလဲများ
someday,တစ်နေ့နေ့
grade,အတန်း
cheese,ဒိန်ခဲ
roof,ခေါင်မိုး
pizza,ပီဇာ
brothers,ညီအစ်ကိုများ
signed,လက်မှတ်ရေးထိုးခဲ့သည်။
bird,ငှက်
marrying,လက်ထပ်ခြင်း။
powerful,အစွမ်းထက်
grown,ကြီးထွားလာသည်။
grandmother,အဖွား
fake,အတု
opening,ဖွင့်လှစ်ခြင်း။
expected,မျှော်လင့်ထားသည်။
eventually,နောက်ဆုံးတော့
ideas,စိတ်ကူးများ
exciting,စိတ်လှုပ်ရှားစရာ
covered,ဖုံးထားသည်။
Parker,ပိပိရိရိ
familiar,ရင်းနှီးသည်။
bomb,ဗုံး
bout,ပြိုင်ပွဲ
television,ရုပ်မြင်သံကြား
harmony,သဟဇာတ
color,အရောင်
heavy,လေးလံ
schedule,အချိန်ဇယား
records,မှတ်တမ်းများ
dollar,ဒေါ်လာ
capable,စွမ်းရည်
master,သခင်
numbers,နံပါတ်များ
practically,လက်တွေ့ကျကျ
including,အပါအဝင်
correct,မှန်တယ်။
clue,သဲလွန်စ
forgotten,မေ့သွားတယ်။
immediately,ချက်ချင်း
appointment,ရက်ချိန်း
social,လူမှုရေး
nature,သဘာဝ
deserves,ထိုက်တန်ပါတယ်။
west or West,အနောက် သို့မဟုတ် အနောက်
teacher,ဆရာမ
threat,ခြိမ်းခြောက်မှု
Frankie,ဖရန်ကီ
bloody,သွေးထွက်သံယို
lonely,အထီးကျန်
Kelly,ကယ်လီ
ordered,အမိန့်ပေးသည်။
shame,ရှက်စရာ
Brittany,Brittany
local,ပြည်တွင်း
jacket,ဂျာကင်အင်္ကျီ
hook,ချိတ်
destroyed,ဖျက်ဆီးခဲ့သည်။
scary,ကြောက်စရာ
loser,အရှုံးသမား
investigation,စုံစမ်းစစ်ဆေးရေး
above,အထက်
invite,ဖိတ်ခေါ်ပါတယ်။
shooting,ရိုက်ကူး
merry,ပျော်ရွှင်စရာ
port,ဆိပ်ကမ်း
precious,အဖိုးတန်
lesson,သင်ခန်းစာ
criminal,ရာဇ၀တ်သား
growing,ကြီးထွားလာသည်။
caused,ဖြစ်ပေါ်လာသော
victim,သားကောင်
professor,ပါမောက္ခ
followed,လိုက်ခဲ့သည်။
funeral,အသုဘ
nothing 's,ဘာမှမဟုတ်ပါဘူး
dean,ဌာနမှူး
considering,စဉ်းစားနေသည်။
burning,ပူလောင်ခြင်း။
couch,အိပ်ရာခင်း
strength,ခွန်အား
harder,ပိုပြင်းပြင်း
loss,ဆုံးရှုံးမှု
view,အမြင်
beauty,အလှတရား
sisters,ညီမတို့
everybody 's,လူတိုင်း
several,အများအပြား
pushed,တွန်းခဲ့သည်။
Nicholas,နီကိုး
written,ရေးသားခဲ့သည်။
somebody 's,တစ်စုံတစ်ယောက်
shock,ရှော့ခ်
pushing,တွန်းသည်။
heat,အပူ
chocolate,ချောကလက်
greatest,အကြီးမြတ်ဆုံး
Holden,Holden
miserable,စိတ်ဆင်းရဲ
Corinthos,ကောရိန္သု
nightmare,အိပ်မက်ဆိုး
energy,စွမ်းအင်
brings,ယူဆောင်လာသည်။
character,ဇာတ်ကောင်
became,ဖြစ်လာတယ်။
famous,နာမည်ကြီး
enemy,ရန်သူ
crash,ပျက်ကျ
chances,အခွင့်အလမ်းတွေကို
sending,ပေးပို့ခြင်း။
recognize,အသိအမှတ်ပြုပါ။
healthy,ကျန်းမာသည်။
boring,ပျင်းစရာ
feed,ကျွေးပါ။
engaged,စေ့စပ်သည်။
percent,ရာခိုင်နှုန်း
headed,ဦးတည်ခဲ့သည်။
Brandon,ဘရန်ဒန်
lines,လိုင်းများ
treated,ကုသခဲ့သည်။
purpose,ရည်ရွယ်ချက်
north or North,မြောက် သို့မဟုတ် မြောက်
knife,ဓား
rights,အခွင့်အရေး
drag,ဆွဲယူပါ။
fan,ပန်ကာ
badly,ဆိုးဆိုးရွားရွား
speed,အရှိန်
Santa,ဆန်တာ၊
hire,အငှား
curious,စပ်စု
paint,ဆေးသုတ်
pardon,ခွင့်လွှတ်ပါ။
Jackson,လုပ်ပြတယ်။
built,တည်ဆောက်ခဲ့သည်။
behavior,အပြုအမူ
closet,ဗီရို
candy or Candy,သကြားလုံး သို့မဟုတ် သကြားလုံး
warn,သတိပေး
gorgeous,အလွန်ကောင်းမွန်တဲ့
post,ပို့စ်
